name,first_name,last_name,short_name,position,jersey_number,height,team_id,shirt_number,substitute,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,accurate_own_half_passes,total_own_half_passes,accurate_opposition_half_passes,total_opposition_half_passes,duel_lost,challenge_lost,ball_recovery,good_high_claim,saved_shots_from_inside_the_box,penalty_faced,saves,minutes_played,touches,rating,possession_lost_ctrl,expected_assists,keeper_save_value,total_shots,goals_prevented,pass_value_normalized,defensive_value_normalized,goalkeeper_value_normalized,total_cross,aerial_lost,aerial_won,duel_won,total_contest,outfielder_block,interception_won,total_tackle,won_tackle,unsuccessful_touch,penalty_conceded,was_fouled,fouls,top_speed,kilometers_covered,number_of_sprints,total_ball_carries_distance,ball_carries_count,total_progression,best_ball_carry_progression,total_progressive_ball_carries_distance,progressive_ball_carries_count,dribble_value_normalized,meters_covered_running_km,meters_covered_high_speed_running_km,meters_covered_sprinting_km,dispossessed,total_clearance,won_contest,clearance_off_line,last_man_tackle,blocked_scoring_attempt,expected_goals,key_pass,shot_value_normalized,big_chance_created,shot_off_target,big_chance_missed,on_target_scoring_attempt,expected_goals_on_target,goals,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,penalty_won,accurate_cross,error_lead_to_ashot,team_name,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Aurélien Tchouaméni,Aurelien,Tchouameni,A. Tchouaméni,M,14.0,188,4481,8,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Maghnes Akliouche,,,M. Akliouche,M,11.0,183,4481,25,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Manu Koné,,,M. Koné,M,17.0,186,4481,6,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
N'Golo Kanté,,,N. Kanté,M,17.0,169,4481,13,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Jean-Philippe Mateta,Jean Philippe,Mateta,J. Mateta,F,14.0,192,4481,22,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Marcus Thuram,Marcus,Thuram,M. Thuram,F,9.0,192,4481,9,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Dean Henderson,Dean,Henderson,D. Henderson,G,1.0,188,4713,13,False,37.0,28.0,13.0,4.0,0.0,26.0,29.0,2.0,8.0,,,6.0,,2.0,,5.0,90.0,47.0,7.4,9.0,0.00223411,0.9277,0,0.1636,0.17,-0.38,0.6,,,,,,,1.0,,,,,,,,,,47.756242589961,8.0,23.143660058091,,,0.0,0.02,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Jarell Quansah,,,J. Quansah,D,4.0,190,4713,26,False,35.0,32.0,2.0,1.0,0.0,22.0,25.0,10.0,10.0,3.0,2.0,5.0,,,,,83.0,44.0,6.2,5.0,0.00410442,,0,,0.08,-0.49,,,,,4.0,1.0,,,1.0,,1.0,,2.0,1.0,31.51,8.4,4.0,97.748885828765,11.0,52.267766722614,21.395353144665,22.050943653277,1.0,0.16,1.32,0.39,0.04,,1.0,1.0,,,,,,,,,,,,,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Ezri Konsa,,,E. Konsa,D,4.0,183,4713,2,False,47.0,45.0,1.0,,0.0,40.0,40.0,5.0,7.0,2.0,,7.0,,,,,90.0,61.0,7.3,3.0,0.00257109,,1,,0.14,-0.59,,,,2.0,6.0,2.0,1.0,4.0,2.0,2.0,,,,1.0,29.25,9.24,9.0,103.37476026659,15.0,35.814409170582,,,0.0,0.18,1.17,0.38,0.1,1.0,1.0,2.0,,,,0.0943,,0.49,,,,1.0,0.6918,1.0,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Marc Guéhi,Marc,Guehi,M. Guéhi,D,15.0,182,4713,6,False,77.0,72.0,5.0,1.0,0.0,59.0,62.0,13.0,15.0,1.0,,1.0,,,,,89.0,88.0,7.3,5.0,0.00413899,,0,,0.27,0.74,,,,,4.0,1.0,,2.0,2.0,1.0,,,1.0,1.0,30.37,9.07,8.0,272.76757869678,32.0,179.94019528315,30.557943725582,32.888672578868,1.0,0.23,1.14,0.46,0.07,,3.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
